PickupDatetimeUTC,DropoffDatetimeUTC,PassengerCount,TripDistance,StoreAndFwd,PickupLocationId,DropoffLocationId,FareAmount,TipAmount
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.93,"No ",79,249,6.00,1.00
01/01/0001 00:00:00,01/01/0001 00:00:00,2,0.56,"No ",238,239,4.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,2,3.5,"No ",238,116,15.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,3.57,"No ",164,261,14.00,3.56
01/01/0001 00:00:00,01/01/0001 00:00:00,1,4.08,"No ",164,145,15.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.8,"No ",114,170,10.50,2.85
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.72,"No ",114,170,10.50,2.86
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.4,"No ",238,24,8.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,4.96,"No ",238,158,19.00,3.20
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.54,"No ",161,79,11.50,3.06
01/01/0001 00:00:00,01/01/0001 00:00:00,1,3.07,"No ",161,146,11.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.44,"No ",43,161,9.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.3,"No ",43,236,7.00,1.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.31,"No ",43,166,6.50,1.54
01/01/0001 00:00:00,01/01/0001 00:00:00,1,6.2,"No ",239,231,21.50,5.06
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.44,"No ",239,142,8.00,2.36
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.17,"No ",79,114,13.50,3.46
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.6,"No ",79,148,5.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,3,"No ",238,140,12.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.2,"No ",238,141,10.50,2.85
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.3,"No ",68,246,3.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.6,"No ",68,158,10.00,2.75
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.76,"No ",161,233,5.50,1.86
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.43,"No ",161,141,12.00,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,2.68,"No ",151,141,11.50,3.06
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.06,"No ",151,238,6.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,5.68,"No ",148,143,22.50,7.89
01/01/0001 00:00:00,01/01/0001 00:00:00,1,5.7,"No ",148,239,22.00,5.16
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.46,"No ",170,161,11.50,0.00
01/01/0001 00:00:00,01/01/0001 00:00:00,1,1.33,"No ",170,229,8.00,1.50
01/01/0001 00:00:00,01/01/0001 00:00:00,1,0.59,"No ",237,236,4.00,0.00
